Participant ID,n_entries,span_days
7,4,37
8,31,355
9,283,520
10,305,524
11,307,370
12,11,62
13,344,380
15,11,339
16,279,370
17,28,214
18,350,376
19,358,371
20,114,376
21,70,235
22,35,220
23,365,381
24,5,344
25,132,150
26,310,381
27,359,383
29,228,375
30,182,373
31,1,0
32,11,15
33,154,383
35,293,381
36,97,366
37,128,383
38,86,111
40,191,369
41,292,379
42,353,383
43,163,370
44,95,372
45,8,165
46,110,359
47,251,372
48,8,239
49,162,380
50,261,375
51,273,373
52,57,370
53,120,369
54,375,1049
55,304,381
56,258,364
57,268,383
58,328,383
60,175,378
61,25,188
62,348,383
63,93,353
65,182,364
66,80,379
67,158,380
68,39,140
69,21,143
70,17,257
71,6,58
72,120,370
73,16,374
74,8,364
76,40,362
77,230,380
78,4,8
79,34,92
80,62,321
81,99,341
82,81,374
83,29,332
84,38,208
86,1,0
87,20,79
88,14,230
89,243,369
90,107,233
91,160,376
92,44,116
94,362,385
95,29,119
96,75,346
97,40,326
98,2,168
100,208,379
101,63,198
102,312,382
103,344,381
104,305,382
105,134,367
106,128,357
107,89,197
108,137,403
109,8,69
110,152,321
111,193,367
112,24,39
113,156,376
114,41,69
115,102,381
116,351,381
117,158,373
118,98,323
119,328,362
120,60,374
121,226,370
122,349,383
2001,85,376
2002,354,379
2003,121,363
2004,385,393
2005,346,381
2006,6,150
2007,6,371
2008,12,44
2009,22,39
2010,349,386
2011,138,381
2012,1,0
2013,76,371
2014,82,378
2015,356,384
2016,259,374
2017,158,382
2018,111,350
2019,27,279
2020,172,380
2021,313,380
2022,30,296
2023,11,15
2024,355,384
2025,257,352
2027,237,394
2029,12,65
2031,11,76
2032,6,175
2033,215,380
2034,305,364
2035,22,90
2036,27,156
2037,31,351
2038,142,219
2039,101,353
2040,22,163
2041,172,370
2042,127,371
2043,166,369
2044,304,367
2045,49,337
2046,43,346
2047,263,377
2048,84,364
2049,320,373
2050,202,383
2051,2,69
2052,29,220
2053,35,323
2054,160,365
2056,44,366
2057,338,379
2058,89,353
2059,19,198
2061,1,0
2064,86,296
2065,4,20
2066,299,370
2069,10,98
2071,4,42
2074,105,372
2075,1,0
2076,372,386
2079,140,378
2080,15,41
2081,6,351
2082,360,377
2083,95,371
2085,323,367
2086,80,152
2087,43,139
2088,347,379
2090,24,165
2091,81,344
2092,346,394
2093,332,381
2095,130,380
2099,179,360
2100,36,185
2101,5,28
2102,90,381
2103,11,370
2104,344,380
2105,141,371
2106,10,62
2107,30,151
2108,81,379
2109,127,363
2110,70,376
2111,28,358
2112,167,383
2113,3,48
2114,47,265
2115,253,422
2116,203,377
2117,125,224
2118,94,363
2119,1,0
2121,224,368
2122,145,376
2123,273,326
2124,67,380
2126,97,370
2127,359,382
2128,363,384
2129,140,311
2131,118,198
2134,237,373
2135,355,383
2136,277,354
2137,90,215
2138,12,20
2139,102,203
2140,103,357
2142,236,363
2143,75,374
2145,276,377
2146,35,353
2147,37,60
2148,27,326
2149,276,374
2150,45,378
2151,16,356
2153,3,74
2154,235,391
2155,1,0
2156,19,352
2158,2,10
2160,225,362
2162,233,365
2163,7,102
2164,8,27
2166,126,357
2168,93,371
2174,104,372
2175,138,163
