participant_id,n_rows,minute_sum_min,minute_sum_25,minute_sum_median,minute_sum_mean,minute_sum_75,minute_sum_max,lt_900_count,lt_900_pct,lt_1000_count,lt_1000_pct,lt_1100_count,lt_1100_pct,lt_1200_count,lt_1200_pct,lt_1300_count,lt_1300_pct,lt_1400_count,lt_1400_pct,lt_1440_count,lt_1440_pct
7,3,795,855.5,916.0,881.6666666666666,925.0,934,1,33.33333333333333,3,100.0,3,100.0,3,100.0,3,100.0,3,100.0,3,100.0
8,98,211,885.25,940.5,928.3571428571429,1010.5,1183,32,32.6530612244898,71,72.44897959183673,93,94.89795918367348,98,100.0,98,100.0,98,100.0,98,100.0
9,326,303,925.0,1013.0,989.180981595092,1093.0,1197,69,21.165644171779142,154,47.239263803680984,251,76.99386503067484,326,100.0,326,100.0,326,100.0,326,100.0
10,317,340,880.0,958.0,937.9463722397477,1001.0,1197,95,29.96845425867508,237,74.76340694006309,307,96.84542586750788,317,100.0,317,100.0,317,100.0,317,100.0
11,22,405,993.25,1021.5,1025.409090909091,1124.5,1199,2,9.090909090909092,8,36.36363636363637,15,68.18181818181817,22,100.0,22,100.0,22,100.0,22,100.0
12,40,404,1009.75,1065.5,1056.2,1146.0,1189,2,5.0,7,17.5,26,65.0,40,100.0,40,100.0,40,100.0,40,100.0
13,33,315,793.0,848.0,838.4545454545455,882.0,1186,27,81.81818181818183,31,93.93939393939394,31,93.93939393939394,33,100.0,33,100.0,33,100.0,33,100.0
15,3,926,943.0,960.0,999.6666666666666,1036.5,1113,0,0.0,2,66.66666666666666,2,66.66666666666666,3,100.0,3,100.0,3,100.0,3,100.0
16,34,779,893.75,968.5,972.1764705882352,1036.0,1163,10,29.411764705882355,21,61.76470588235294,30,88.23529411764706,34,100.0,34,100.0,34,100.0,34,100.0
17,51,860,965.0,1006.0,1013.7450980392157,1058.0,1184,4,7.8431372549019605,20,39.21568627450981,43,84.31372549019608,51,100.0,51,100.0,51,100.0,51,100.0
18,338,339,892.0,940.0,932.4674556213017,982.0,1174,100,29.585798816568047,276,81.65680473372781,335,99.11242603550295,338,100.0,338,100.0,338,100.0,338,100.0
19,367,592,863.0,935.0,931.5585831062671,1013.5,1194,130,35.42234332425068,263,71.66212534059946,353,96.18528610354224,367,100.0,367,100.0,367,100.0,367,100.0
20,286,567,933.25,1005.0,1000.451048951049,1094.75,1198,52,18.181818181818183,138,48.25174825174825,223,77.97202797202797,286,100.0,286,100.0,286,100.0,286,100.0
21,15,990,1097.0,1125.0,1111.7333333333333,1148.5,1170,0,0.0,1,6.666666666666667,4,26.666666666666668,15,100.0,15,100.0,15,100.0,15,100.0
22,149,66,937.0,978.0,967.4697986577181,1030.0,1198,24,16.10738255033557,94,63.08724832214765,143,95.9731543624161,149,100.0,149,100.0,149,100.0,149,100.0
23,278,825,1020.25,1082.0,1072.0035971223022,1126.75,1198,8,2.877697841726619,53,19.06474820143885,164,58.992805755395686,278,100.0,278,100.0,278,100.0,278,100.0
24,158,492,924.25,968.0,969.9810126582279,1017.0,1193,21,13.291139240506327,109,68.9873417721519,151,95.56962025316456,158,100.0,158,100.0,158,100.0,158,100.0
25,96,394,915.75,986.5,969.4791666666666,1053.0,1198,20,20.833333333333336,55,57.291666666666664,82,85.41666666666666,96,100.0,96,100.0,96,100.0,96,100.0
26,363,549,859.5,909.0,909.1763085399449,957.0,1183,165,45.45454545454545,319,87.87878787878788,358,98.62258953168043,363,100.0,363,100.0,363,100.0,363,100.0
27,347,186,798.5,895.0,871.3256484149856,966.0,1191,184,53.02593659942363,289,83.28530259365994,336,96.82997118155619,347,100.0,347,100.0,347,100.0,347,100.0
29,293,481,937.0,993.0,993.9795221843003,1062.0,1197,42,14.334470989761092,152,51.877133105802045,253,86.3481228668942,293,100.0,293,100.0,293,100.0,293,100.0
30,207,597,924.5,956.0,957.2028985507246,993.5,1184,24,11.594202898550725,163,78.74396135265701,203,98.06763285024155,207,100.0,207,100.0,207,100.0,207,100.0
31,111,612,887.0,941.0,940.7837837837837,1010.5,1184,35,31.53153153153153,78,70.27027027027027,107,96.3963963963964,111,100.0,111,100.0,111,100.0,111,100.0
32,14,946,997.0,1050.0,1055.2857142857142,1117.0,1163,0,0.0,4,28.57142857142857,10,71.42857142857143,14,100.0,14,100.0,14,100.0,14,100.0
33,397,508,954.0,993.0,999.0554156171285,1050.0,1183,31,7.8085642317380355,209,52.64483627204031,359,90.42821158690177,397,100.0,397,100.0,397,100.0,397,100.0
35,318,585,881.0,937.0,937.8333333333334,1008.5,1188,101,31.761006289308174,236,74.21383647798741,294,92.45283018867924,318,100.0,318,100.0,318,100.0,318,100.0
36,198,797,993.0,1044.5,1037.489898989899,1092.5,1195,15,7.575757575757576,59,29.797979797979796,152,76.76767676767676,198,100.0,198,100.0,198,100.0,198,100.0
37,385,526,938.0,970.0,969.7168831168831,1008.0,1139,33,8.571428571428571,275,71.42857142857143,380,98.7012987012987,385,100.0,385,100.0,385,100.0,385,100.0
38,108,595,869.75,909.5,904.1018518518518,946.0,1056,44,40.74074074074074,101,93.51851851851852,108,100.0,108,100.0,108,100.0,108,100.0,108,100.0
40,268,837,975.75,1014.0,1015.7649253731344,1058.0,1188,15,5.597014925373134,103,38.43283582089552,238,88.80597014925374,268,100.0,268,100.0,268,100.0,268,100.0
41,360,582,940.5,976.5,970.7527777777777,1015.25,1178,46,12.777777777777777,242,67.22222222222223,354,98.33333333333333,360,100.0,360,100.0,360,100.0,360,100.0
42,313,540,993.0,1028.0,1023.55910543131,1058.0,1169,8,2.5559105431309903,90,28.753993610223645,288,92.01277955271566,313,100.0,313,100.0,313,100.0,313,100.0
43,324,575,902.0,964.0,944.8024691358024,990.25,1184,77,23.765432098765434,279,86.11111111111111,321,99.07407407407408,324,100.0,324,100.0,324,100.0,324,100.0
44,342,102,733.25,878.5,864.3099415204679,1019.5,1181,188,54.97076023391813,248,72.51461988304094,309,90.35087719298247,342,100.0,342,100.0,342,100.0,342,100.0
45,192,757,1021.75,1051.0,1050.421875,1095.0,1185,7,3.6458333333333335,30,15.625,152,79.16666666666666,192,100.0,192,100.0,192,100.0,192,100.0
46,237,556,898.0,945.0,937.9367088607595,986.0,1118,60,25.31645569620253,194,81.85654008438819,234,98.73417721518987,237,100.0,237,100.0,237,100.0,237,100.0
47,270,724,953.25,996.0,993.4629629629629,1037.75,1175,26,9.62962962962963,146,54.074074074074076,256,94.81481481481482,270,100.0,270,100.0,270,100.0,270,100.0
48,32,530,869.25,933.5,938.8125,1019.5,1197,12,37.5,22,68.75,28,87.5,32,100.0,32,100.0,32,100.0,32,100.0
49,360,583,953.0,990.0,980.0527777777778,1019.25,1191,40,11.11111111111111,208,57.77777777777777,348,96.66666666666667,360,100.0,360,100.0,360,100.0,360,100.0
50,242,683,989.0,1056.0,1045.5743801652893,1115.0,1198,17,7.024793388429752,68,28.09917355371901,165,68.18181818181817,242,100.0,242,100.0,242,100.0,242,100.0
51,374,212,868.25,952.0,910.836898395722,1006.0,1191,124,33.155080213903744,266,71.12299465240642,367,98.1283422459893,374,100.0,374,100.0,374,100.0,374,100.0
52,313,661,857.0,932.0,941.779552715655,1023.0,1195,129,41.21405750798722,218,69.6485623003195,282,90.09584664536742,313,100.0,313,100.0,313,100.0,313,100.0
53,331,169,977.0,1038.0,1029.108761329305,1085.0,1192,22,6.646525679758309,105,31.722054380664655,265,80.06042296072508,331,100.0,331,100.0,331,100.0,331,100.0
54,408,767,901.0,931.0,940.1544117647059,970.5,1195,96,23.52941176470588,341,83.57843137254902,403,98.77450980392157,408,100.0,408,100.0,408,100.0,408,100.0
55,259,473,866.0,911.0,904.6718146718147,940.5,1129,104,40.15444015444015,242,93.43629343629344,256,98.84169884169884,259,100.0,259,100.0,259,100.0,259,100.0
56,132,729,941.75,984.5,990.6439393939394,1041.5,1179,14,10.606060606060606,71,53.78787878787878,120,90.9090909090909,132,100.0,132,100.0,132,100.0,132,100.0
57,294,777,967.25,1009.0,1009.4863945578231,1058.75,1186,22,7.482993197278912,124,42.17687074829932,259,88.09523809523809,294,100.0,294,100.0,294,100.0,294,100.0
58,357,607,944.0,974.0,975.6050420168067,1008.0,1191,29,8.123249299719888,251,70.30812324929971,346,96.9187675070028,357,100.0,357,100.0,357,100.0,357,100.0
60,164,637,904.0,965.0,965.5426829268292,1024.5,1191,37,22.5609756097561,108,65.85365853658537,152,92.6829268292683,164,100.0,164,100.0,164,100.0,164,100.0
61,62,568,805.0,865.0,881.1451612903226,959.75,1191,41,66.12903225806451,53,85.48387096774194,60,96.7741935483871,62,100.0,62,100.0,62,100.0,62,100.0
62,322,71,830.25,911.5,903.0652173913044,1001.75,1195,149,46.273291925465834,240,74.53416149068323,304,94.40993788819875,322,100.0,322,100.0,322,100.0,322,100.0
63,104,598,909.25,1014.5,999.75,1107.5,1187,21,20.192307692307693,48,46.15384615384615,73,70.1923076923077,104,100.0,104,100.0,104,100.0,104,100.0
65,108,468,937.75,983.5,967.4444444444445,1009.25,1161,14,12.962962962962962,70,64.81481481481481,105,97.22222222222221,108,100.0,108,100.0,108,100.0,108,100.0
66,278,602,992.25,1051.5,1048.8309352517986,1116.75,1196,16,5.755395683453238,76,27.33812949640288,187,67.26618705035972,278,100.0,278,100.0,278,100.0,278,100.0
67,367,138,716.5,810.0,804.141689373297,898.5,1193,276,75.20435967302453,327,89.10081743869209,356,97.00272479564033,367,100.0,367,100.0,367,100.0,367,100.0
68,137,307,875.0,920.0,923.07299270073,962.0,1154,51,37.22627737226277,113,82.48175182481752,135,98.54014598540147,137,100.0,137,100.0,137,100.0,137,100.0
69,48,780,866.25,935.0,935.4791666666666,980.75,1155,16,33.33333333333333,39,81.25,45,93.75,48,100.0,48,100.0,48,100.0,48,100.0
70,29,921,1024.0,1079.0,1076.9310344827586,1140.0,1184,0,0.0,4,13.793103448275861,20,68.96551724137932,29,100.0,29,100.0,29,100.0,29,100.0
71,256,634,912.0,974.5,971.66015625,1043.0,1191,54,21.09375,143,55.859375,237,92.578125,256,100.0,256,100.0,256,100.0,256,100.0
72,324,678,918.75,980.0,980.4629629629629,1042.25,1198,53,16.358024691358025,189,58.333333333333336,286,88.27160493827161,324,100.0,324,100.0,324,100.0,324,100.0
73,40,796,990.0,1054.0,1043.95,1100.75,1199,3,7.5,11,27.500000000000004,30,75.0,40,100.0,40,100.0,40,100.0,40,100.0
74,17,540,881.0,1031.0,973.2352941176471,1112.0,1191,5,29.411764705882355,7,41.17647058823529,10,58.82352941176471,17,100.0,17,100.0,17,100.0,17,100.0
76,71,784,944.0,993.0,987.3098591549295,1034.0,1196,11,15.492957746478872,39,54.929577464788736,66,92.95774647887323,71,100.0,71,100.0,71,100.0,71,100.0
77,347,586,944.0,1011.0,1001.0403458213257,1072.0,1198,51,14.697406340057636,159,45.821325648414984,291,83.86167146974063,347,100.0,347,100.0,347,100.0,347,100.0
78,10,529,830.25,969.0,913.7,1014.5,1124,3,30.0,5,50.0,8,80.0,10,100.0,10,100.0,10,100.0,10,100.0
79,47,548,867.0,959.0,941.2978723404256,1019.0,1185,16,34.04255319148936,33,70.2127659574468,40,85.1063829787234,47,100.0,47,100.0,47,100.0,47,100.0
80,263,569,953.0,1002.0,995.6996197718631,1049.0,1193,32,12.167300380228136,126,47.90874524714829,242,92.01520912547528,263,100.0,263,100.0,263,100.0,263,100.0
81,238,655,973.25,1031.5,1024.2521008403362,1101.5,1197,29,12.184873949579831,88,36.97478991596639,176,73.94957983193278,238,100.0,238,100.0,238,100.0,238,100.0
82,280,711,959.75,1013.0,1010.0321428571428,1066.0,1184,26,9.285714285714286,120,42.857142857142854,243,86.78571428571429,280,100.0,280,100.0,280,100.0,280,100.0
83,243,349,878.5,960.0,951.2757201646091,1045.5,1195,79,32.510288065843625,148,60.90534979423868,218,89.7119341563786,243,100.0,243,100.0,243,100.0,243,100.0
84,70,613,867.25,957.5,952.1428571428571,1046.0,1174,23,32.857142857142854,44,62.857142857142854,60,85.71428571428571,70,100.0,70,100.0,70,100.0,70,100.0
86,7,758,781.5,867.0,851.7142857142857,877.5,1019,6,85.71428571428571,6,85.71428571428571,7,100.0,7,100.0,7,100.0,7,100.0,7,100.0
87,5,900,1064.0,1089.0,1072.2,1136.0,1172,0,0.0,1,20.0,3,60.0,5,100.0,5,100.0,5,100.0,5,100.0
88,10,855,938.75,978.0,993.1,1035.0,1178,2,20.0,6,60.0,8,80.0,10,100.0,10,100.0,10,100.0,10,100.0
89,217,243,824.0,926.0,903.2857142857143,987.0,1195,94,43.31797235023041,169,77.88018433179722,204,94.00921658986175,217,100.0,217,100.0,217,100.0,217,100.0
90,81,703,903.0,951.0,958.0370370370371,1019.0,1194,18,22.22222222222222,56,69.1358024691358,77,95.06172839506173,81,100.0,81,100.0,81,100.0,81,100.0
91,265,738,950.0,988.0,988.9094339622642,1031.0,1196,29,10.943396226415095,150,56.60377358490566,247,93.20754716981132,265,100.0,265,100.0,265,100.0,265,100.0
92,12,593,896.25,985.0,936.25,1024.75,1175,3,25.0,6,50.0,11,91.66666666666666,12,100.0,12,100.0,12,100.0,12,100.0
94,365,558,883.0,930.0,920.7561643835617,962.0,1129,122,33.42465753424658,327,89.58904109589041,363,99.45205479452055,365,100.0,365,100.0,365,100.0,365,100.0
95,116,618,924.75,990.5,974.1379310344828,1043.25,1158,19,16.379310344827587,66,56.896551724137936,109,93.96551724137932,116,100.0,116,100.0,116,100.0,116,100.0
96,100,761,923.25,967.0,969.84,1022.75,1169,16,16.0,65,65.0,95,95.0,100,100.0,100,100.0,100,100.0,100,100.0
97,215,506,857.0,901.0,897.0046511627907,941.0,1184,107,49.76744186046512,199,92.55813953488372,214,99.53488372093024,215,100.0,215,100.0,215,100.0,215,100.0
98,275,768,927.0,990.0,979.0836363636364,1030.0,1194,43,15.636363636363637,159,57.81818181818181,259,94.18181818181817,275,100.0,275,100.0,275,100.0,275,100.0
100,129,808,991.0,1051.0,1046.4883720930231,1107.0,1198,5,3.875968992248062,37,28.68217054263566,90,69.76744186046511,129,100.0,129,100.0,129,100.0,129,100.0
101,142,490,918.0,953.0,948.1619718309859,986.75,1113,25,17.6056338028169,119,83.80281690140845,139,97.88732394366197,142,100.0,142,100.0,142,100.0,142,100.0
102,324,350,882.75,932.0,932.7932098765432,985.0,1171,103,31.790123456790127,262,80.8641975308642,314,96.91358024691358,324,100.0,324,100.0,324,100.0,324,100.0
103,376,168,812.0,878.5,861.2952127659574,923.25,1157,243,64.62765957446808,361,96.01063829787235,375,99.7340425531915,376,100.0,376,100.0,376,100.0,376,100.0
104,343,344,826.5,893.0,894.2857142857143,951.5,1193,184,53.64431486880466,299,87.17201166180757,334,97.37609329446065,343,100.0,343,100.0,343,100.0,343,100.0
105,198,751,913.5,978.0,973.8383838383838,1031.75,1176,39,19.696969696969695,122,61.61616161616161,181,91.41414141414141,198,100.0,198,100.0,198,100.0,198,100.0
106,204,788,953.75,1003.0,1009.8774509803922,1080.0,1197,20,9.803921568627452,98,48.03921568627451,171,83.82352941176471,204,100.0,204,100.0,204,100.0,204,100.0
107,292,620,912.75,959.0,976.1917808219179,1041.0,1199,55,18.835616438356166,185,63.35616438356164,257,88.01369863013699,292,100.0,292,100.0,292,100.0,292,100.0
108,163,499,883.5,972.0,954.4723926380368,1044.5,1166,51,31.28834355828221,97,59.50920245398773,144,88.34355828220859,163,100.0,163,100.0,163,100.0,163,100.0
109,260,448,924.25,984.0,970.7038461538461,1025.5,1159,48,18.461538461538463,152,58.46153846153847,252,96.92307692307692,260,100.0,260,100.0,260,100.0,260,100.0
110,344,475,955.75,1020.0,1008.625,1063.0,1198,35,10.174418604651162,135,39.24418604651162,303,88.0813953488372,344,100.0,344,100.0,344,100.0,344,100.0
111,327,474,903.5,951.0,945.8440366972477,1000.5,1139,77,23.547400611620795,244,74.61773700305811,323,98.77675840978594,327,100.0,327,100.0,327,100.0,327,100.0
112,60,266,680.25,789.5,790.7833333333333,923.5,1172,41,68.33333333333333,50,83.33333333333334,55,91.66666666666666,60,100.0,60,100.0,60,100.0,60,100.0
