Participant ID,raw_n,ml_n,pct_retained
7,261,66,25.287356321839084
8,431,168,38.97911832946635
9,439,101,23.006833712984054
10,439,63,14.350797266514807
11,439,271,61.731207289293856
12,439,330,75.17084282460137
13,385,344,89.35064935064935
15,385,70,18.181818181818183
16,385,135,35.064935064935064
17,385,64,16.623376623376622
18,385,39,10.129870129870131
19,386,12,3.1088082901554404
20,386,65,16.83937823834197
21,386,195,50.51813471502591
22,336,31,9.226190476190476
23,385,104,27.01298701298701
24,379,121,31.926121372031663
25,337,82,24.33234421364985
26,385,10,2.5974025974025974
27,386,34,8.808290155440414
29,385,91,23.636363636363637
30,385,36,9.35064935064935
31,384,208,54.166666666666664
32,380,19,5.0
33,451,43,9.534368070953436
35,385,60,15.584415584415584
36,386,64,16.580310880829018
37,385,0,0.0
38,280,7,2.5
40,383,72,18.79895561357702
41,385,21,5.454545454545454
42,386,61,15.803108808290157
43,384,59,15.364583333333334
44,386,39,10.103626943005182
45,386,156,40.41450777202073
46,385,121,31.428571428571427
47,386,105,27.202072538860104
48,384,60,15.625
49,385,20,5.194805194805195
50,386,105,27.202072538860104
51,386,1,0.2590673575129534
52,385,55,14.285714285714285
53,395,52,13.164556962025317
54,451,40,8.869179600886918
55,386,13,3.3678756476683938
56,385,32,8.311688311688311
57,385,85,22.07792207792208
58,385,27,7.012987012987012
60,384,202,52.604166666666664
61,233,111,47.63948497854077
62,386,58,15.025906735751295
63,384,280,72.91666666666666
65,385,154,40.0
66,386,76,19.689119170984455
67,381,13,3.4120734908136483
68,157,17,10.828025477707007
69,386,6,1.5544041450777202
70,386,232,60.10362694300518
71,385,7,1.8181818181818181
72,386,46,11.917098445595855
73,383,304,79.37336814621409
74,385,119,30.909090909090907
76,386,296,76.68393782383419
77,386,34,8.808290155440414
78,377,15,3.978779840848806
79,385,18,4.675324675324675
80,386,47,12.176165803108809
81,386,133,34.4559585492228
82,386,98,25.38860103626943
83,409,118,28.850855745721272
84,386,28,7.253886010362693
86,386,10,2.5906735751295336
87,386,47,12.176165803108809
88,385,19,4.935064935064935
89,385,72,18.7012987012987
90,385,78,20.259740259740262
91,386,94,24.352331606217618
92,86,8,9.30232558139535
94,386,21,5.4404145077720205
95,207,53,25.60386473429952
96,386,271,70.20725388601036
97,386,109,28.238341968911918
98,386,107,27.72020725388601
100,386,142,36.787564766839374
101,385,40,10.38961038961039
102,385,60,15.584415584415584
103,385,8,2.0779220779220777
104,385,41,10.649350649350648
105,386,94,24.352331606217618
106,386,51,13.21243523316062
107,385,93,24.155844155844157
108,409,39,9.535452322738386
109,386,61,15.803108808290157
110,386,34,8.808290155440414
111,386,56,14.507772020725387
112,168,19,11.30952380952381
113,386,37,9.585492227979273
114,109,16,14.678899082568808
115,386,22,5.699481865284974
116,385,50,12.987012987012985
117,385,46,11.948051948051948
118,321,18,5.607476635514018
119,386,59,15.284974093264248
120,386,115,29.792746113989637
121,386,39,10.103626943005182
122,385,67,17.402597402597404
2001,383,192,50.13054830287206
2002,383,207,54.04699738903395
2003,383,325,84.85639686684074
2004,383,7,1.8276762402088773
2005,383,41,10.704960835509137
2006,383,18,4.699738903394255
2007,383,45,11.74934725848564
2008,430,0,0.0
2009,383,5,1.3054830287206265
2010,383,4,1.0443864229765014
2011,383,1,0.26109660574412535
2012,383,4,1.0443864229765014
2013,383,27,7.049608355091384
2014,383,91,23.759791122715406
2015,383,2,0.5221932114882507
2016,383,30,7.83289817232376
2017,383,5,1.3054830287206265
